rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Five Stars,perfect,[],B00NQHZ2RU,B00NQHZ2RU,AGYCCDOVYOOUDZOETUJN4U5KAGIA,1486140013000,0,True
5.0,LOVE this iPhone 6,"So far extremely happy with the iPhone 6.  This works perfectly for what it was purchased for and nice to have the larger storage.  Wasn't sure what iPhone to get, but very happy with this purchase and would highly recommend to anyone looking to get one.  While it isn't the latest model, it still has many of the extra added features advertised by Apple.  no regrets and happy to have this one",[],B00NQGOZCY,B00NQGOZCY,AHGSUXT56Q3XVYD6J3YBZMBOCXHA,1495430457000,2,True
1.0,Malfunction a lot,I would not recommend buying any electronics from this company; my phone came defected.,[],B07234GKN5,B07234GKN5,AFV4KKH356TLSZEHI3UBHN4SYSJQ,1582741702541,2,True
1.0,Battery is done for.,Battery is trashed essentially making the phone unusable.  Complete waste of money.,[],B07CQNF813,B07CQNF813,AFTPWGVZUDMJE5UUADHHZBQK4AIQ,1581536080691,0,True
5.0,Brand new phone,This is literally a brand new phone for a used phone price. I could not find a single scratch on this phone. I am so happy with this purchase. Saved a ton of money too.,[],B09JFN8K6T,B09JFN8K6T,AFBJCNQY5YUKIKOZT4OB2EQ7JWXA,1671675512431,3,True
5.0,Buy it!,My daughter loves this phone and has had no problems with it.,[],B07B9LFNM9,B07B9LFNM9,AGYK3LRB52Q4ZK4ECFEUISJDYPBQ,1556302510476,27,True
5.0,Five Stars,Works well!,[],B004YRBM1Q,B004YRBM1Q,AGTN3GVLDIKN6RSSOQVRBKEIZYJA,1450756208000,0,True
1.0,Iphone 8+ no good,"This iPhone 8+ was no good out the box.  Screen Res was horrible, volume no good.  Will be returning it.",[],B07759SBP7,B07759SBP7,AEDROFHP64B6OAVL42A4555ZNRVA,1567448437165,2,True
5.0,Mine came 100% brand new,Came in mint condition!! 100% battery life. No scratches whatsoever. Brand new I would say. I am a happy costumer,"[{'small_image_url': 'https://m.media-amazon.com/images/I/61716lYEhEL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61716lYEhEL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61716lYEhEL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/617y2dGIn3L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/617y2dGIn3L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/617y2dGIn3L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/715Q++dU+mL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/715Q++dU+mL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/715Q++dU+mL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09JFN8K6T,B09JFN8K6T,AGTE2RHQKES2VEDAXU46RUUTSJCA,1668542568265,6,True
5.0,This phone was in great shape.,I went to the Apple Store for assistance and the “Genius” said it was a good phone.,"[{'small_image_url': 'https://m.media-amazon.com/images/I/81tsRo1sjOL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81tsRo1sjOL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81tsRo1sjOL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07759SBP7,B07759SBP7,AG6WPOL5TXNVSKCT2TN6ASXUVC6A,1633142818995,1,True
