2024-08-26 00:31:48,708:INFO:Database connection established successfully
2024-08-26 00:31:50,800:INFO:Inserted new review: user_id=AGR4GFLNTIMTMRILE2GCP2Q7I2FA, timestamp=1724092200000
2024-08-26 00:31:50,806:INFO:Inserted new review: user_id=AEMN3O3DQBBKUOVPJRV6A7UTRFAA, timestamp=1715106600000
2024-08-26 00:31:50,813:INFO:Inserted new review: user_id=AE4HGKSVHXFYRD6KYM35YYCCIT3Q, timestamp=1721673000000
2024-08-26 00:31:50,822:INFO:Inserted new review: user_id=AGK67XDOHNDYBDQXTG67DKXNOLGA, timestamp=1718994600000
2024-08-26 00:31:50,829:INFO:Inserted new review: user_id=AGJLHV3B6TQBKF4FGTS4FU43PBBA, timestamp=1723833000000
2024-08-26 00:31:50,836:INFO:Inserted new review: user_id=AHP5IQYI3IZPGFUO2ABHOSIVG2ZA, timestamp=1721673000000
2024-08-26 00:31:50,844:INFO:Inserted new review: user_id=AH5G6EUYT4S644HQGCZNCBAC266Q, timestamp=1721759400000
2024-08-26 00:31:50,850:INFO:Inserted new review: user_id=AGER6EO27GSXW5ORIWDOU26FI53Q, timestamp=1719340200000
2024-08-26 00:31:50,855:INFO:Inserted new review: user_id=AEY74Z3FQBJJHF7NPONKNRXRMERQ, timestamp=1724178600000
2024-08-26 00:31:50,861:INFO:Inserted new review: user_id=AEUS57DGVAPZX7K75RHLJORKWMFA, timestamp=1720290600000
2024-08-26 00:31:50,861:INFO:Page 1: 10 reviews added, 0 duplicates skipped
2024-08-26 00:31:57,055:INFO:Inserted new review: user_id=AE6PG4IKBSMO2SE7T23S6QAAXCNA, timestamp=1723660200000
2024-08-26 00:31:57,061:INFO:Inserted new review: user_id=AGLI26YBH2MLS5HOO3FVURE7ERBQ, timestamp=1722018600000
2024-08-26 00:31:57,067:INFO:Inserted new review: user_id=AGY77YFX2XWYMLFZMQ3LDP7ESBXQ, timestamp=1722450600000
2024-08-26 00:31:57,075:INFO:Inserted new review: user_id=AEBHHGNMIUU75FH3SEQ32PLG3MRQ, timestamp=1721932200000
2024-08-26 00:31:57,081:INFO:Inserted new review: user_id=AFAMVQGZPASZ2R5AQZQHYWUFK2RQ, timestamp=1723660200000
2024-08-26 00:31:57,087:INFO:Inserted new review: user_id=AF6QHCOKTMMLTHDYGAOYGVOBMCWQ, timestamp=1720722600000
