2024-10-21 13:29:04,862:INFO:package: mysql.connector.plugins
2024-10-21 13:29:04,863:INFO:plugin_name: caching_sha2_password
2024-10-21 13:29:04,864:INFO:AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2024-10-21 13:29:05,230:INFO:Database connection established successfully
2024-10-21 13:29:11,350:INFO:Inserted new review: user_id=AFVJYUKSEDG6KQVA4LHZEPQNOXYQ, timestamp=1727375400000
2024-10-21 13:29:11,696:INFO:Inserted new review: user_id=AGPWH7WTISODN5UB6V2MXE2N6DTQ, timestamp=1728412200000
2024-10-21 13:29:11,973:INFO:Inserted new review: user_id=AHKNMCOIPOVOREKYBI7IIWJSE5VA, timestamp=1714415400000
2024-10-21 13:29:12,192:INFO:Inserted new review: user_id=AGOXHL73CVA7PQAPQ7OROCF4BSJA, timestamp=1723314600000
2024-10-21 13:29:12,373:INFO:Inserted new review: user_id=AFOBASRFRCCFP5A6BHCBSWD7HYEA, timestamp=1670437800000
2024-10-21 13:29:12,566:INFO:Inserted new review: user_id=AHOTKJWME2EAGM2DLBBSBI4YYW2A, timestamp=1695666600000
2024-10-21 13:29:12,774:INFO:Inserted new review: user_id=AFUKXKPWNYO5SCTVYLFUDCV3RPLA, timestamp=1601663400000
2024-10-21 13:29:12,971:INFO:Inserted new review: user_id=AEJP64VMHIG522RKSXF3Z2FDBMRA, timestamp=1728844200000
2024-10-21 13:29:13,143:INFO:Inserted new review: user_id=AEAPXGCO3QUIUGSEO3YD2UJ24B2A, timestamp=1724437800000
2024-10-21 13:29:13,344:INFO:Inserted new review: user_id=AEAMZO3YFF3EBAT6G2BIIOPEVA7A, timestamp=1728585000000
2024-10-21 13:29:13,344:INFO:Page 1: 10 reviews added, 0 duplicates skipped
2024-10-21 13:29:19,996:INFO:Inserted new review: user_id=AFTGHIP2SOO7KZ4DAL4ZXNDDFCFQ, timestamp=1727980200000
2024-10-21 13:29:20,210:INFO:Inserted new review: user_id=AHXL3ACN5SUDWD2WR3LX4QIXMUCQ, timestamp=1726770600000
2024-10-21 13:29:20,424:INFO:Inserted new review: user_id=AGHDMRFPL7HZ3GWWXSYK3AMP34SQ, timestamp=1725733800000
2024-10-21 13:29:20,657:INFO:Inserted new review: user_id=AF5Q3VL3KFYRT53IW3RDXPRZL4XA, timestamp=1728153000000
2024-10-21 13:29:20,879:INFO:Inserted new review: user_id=AGWEBA57PKAWNZG74NCCNOMUIFIA, timestamp=1723660200000
2024-10-21 13:29:21,065:INFO:Inserted new review: user_id=AFNI43IYB4TMPV6ZAMXDZWDVT6CA, timestamp=1722537000000
2024-10-21 13:29:21,271:INFO:Inserted new review: user_id=AGZKKSUNZFJJX2MO57UQ7SC6WGWA, timestamp=1725215400000
2024-10-21 13:29:21,471:INFO:Inserted new review: user_id=AECOP7RC77OPXCIR2PNR6OGVBVIA, timestamp=1725820200000
2024-10-21 13:29:21,663:INFO:Inserted new review: user_id=AFKNZL76WHCGN4XGR5E3RMAGE4EQ, timestamp=1726511400000
2024-10-21 13:29:21,847:INFO:Inserted new review: user_id=AFQUVBK67NWZWWC7XBJEW6VNWMAA, timestamp=1719772200000
2024-10-21 13:29:21,847:INFO:Page 2: 10 reviews added, 0 duplicates skipped
2024-10-21 13:29:28,166:INFO:Inserted new review: user_id=AFXHG3AZLNPEZLBHCLWBFWW3U5KA, timestamp=1722623400000
2024-10-21 13:29:28,389:INFO:Inserted new review: user_id=AEUFSTOAKVRHSV4ZKVNLWDXE2CPA, timestamp=1715884200000
2024-10-21 13:29:28,585:INFO:Inserted new review: user_id=AHCGBFN3B47PFBNU6EZIOWTFIFCQ, timestamp=1724178600000
2024-10-21 13:29:28,777:INFO:Inserted new review: user_id=AG3MHP2XQ3WHEVGB7TMB6PWMTK2Q, timestamp=1621794600000
2024-10-21 13:29:28,970:INFO:Inserted new review: user_id=AHUC6JA3MG73QRC63HNGGMKQXJ2Q, timestamp=1722709800000
2024-10-21 13:29:29,173:INFO:Inserted new review: user_id=AHMTBGHXRZHFXMBF6L6FMXGRQ47Q, timestamp=1726770600000
2024-10-21 13:29:29,372:INFO:Inserted new review: user_id=AFUEEKL7V5RQ6JE5A4ULKC7I3KIA, timestamp=1715020200000
2024-10-21 13:29:29,595:INFO:Inserted new review: user_id=AGCNXRXADVXNGDLQCO5ROX7BGX5A, timestamp=1726165800000
2024-10-21 13:29:29,837:INFO:Inserted new review: user_id=AFT5JS6DRSMAT56J255PLSTBYGMA, timestamp=1722537000000
2024-10-21 13:29:30,030:INFO:Inserted new review: user_id=AHGCLHTX2ELLFPHUKMTXFLONUNJQ, timestamp=1687372200000
2024-10-21 13:29:30,030:INFO:Page 3: 10 reviews added, 0 duplicates skipped
2024-10-21 13:29:36,344:INFO:Inserted new review: user_id=AFW4O4WFZF7BTKT633UGMJLZWUMA, timestamp=1720204200000
2024-10-21 13:29:36,587:INFO:Inserted new review: user_id=AHBJYPKTHHRC7SQUMRGKUBR662GQ, timestamp=1711477800000
2024-10-21 13:29:36,781:INFO:Inserted new review: user_id=AEGEH7EIXSS6GTNWIDSMYGVGO5XQ, timestamp=1717180200000
2024-10-21 13:29:37,072:INFO:Inserted new review: user_id=AEDGJMARYQQVRUC4S6E2UJ5QZN2Q, timestamp=1714329000000
2024-10-21 13:29:37,321:INFO:Inserted new review: user_id=AGWKJZSH7YTWONNNPJ2AMKXUXVOQ, timestamp=1710441000000
2024-10-21 13:29:37,587:INFO:Inserted new review: user_id=AHCAWL2YN4HKSG3ZY5GRC77YNJNQ, timestamp=1705170600000
2024-10-21 13:29:37,800:INFO:Inserted new review: user_id=AFIXKEZ33AIELLZX7CY35E6HTKRA, timestamp=1721759400000
2024-10-21 13:29:37,991:INFO:Inserted new review: user_id=AF5S5KMAHE5PFQZGLG62OHULFQ5A, timestamp=1703269800000
